Trace1,
Freq,,Amp,,
            85999914,Hz,              -80.22, dBm,
            86333247,Hz,              -81.99, dBm,
            86666580,Hz,              -79.52, dBm,
            86999913,Hz,              -80.37, dBm,
            87333246,Hz,              -80.40, dBm,
            87666579,Hz,              -80.63, dBm,
            87999912,Hz,              -80.08, dBm,
            88333245,Hz,              -80.81, dBm,
            88666578,Hz,              -79.34, dBm,
            88999911,Hz,              -78.73, dBm,
            89333244,Hz,              -81.98, dBm,
            89666577,Hz,              -77.77, dBm,
            89999910,Hz,              -30.73, dBm,
            90333243,Hz,              -81.37, dBm,
            90666576,Hz,              -79.42, dBm,
            90999909,Hz,              -80.07, dBm,
            91333242,Hz,              -80.71, dBm,
            91666575,Hz,              -80.55, dBm,
            91999908,Hz,              -80.70, dBm,
            92333241,Hz,              -79.03, dBm,
            92666574,Hz,              -80.70, dBm,
            92999907,Hz,              -79.75, dBm,
            93333240,Hz,              -81.06, dBm,
            93666573,Hz,              -81.42, dBm,
            93999906,Hz,              -81.11, dBm,
            94333239,Hz,              -81.14, dBm,
            94666572,Hz,              -77.22, dBm,
            94999905,Hz,              -31.56, dBm,
            95333238,Hz,              -80.98, dBm,
            95666571,Hz,              -80.57, dBm,
            95999904,Hz,              -79.14, dBm,
            96333237,Hz,              -81.08, dBm,
            96666570,Hz,              -80.79, dBm,
            96999903,Hz,              -80.24, dBm,
            97333236,Hz,              -79.75, dBm,
            97666569,Hz,              -78.73, dBm,
            97999902,Hz,              -81.82, dBm,
            98333235,Hz,              -79.51, dBm,
            98666568,Hz,              -78.22, dBm,
            98999901,Hz,              -81.11, dBm,
            99333234,Hz,              -79.92, dBm,
            99666567,Hz,              -77.85, dBm,
            99999900,Hz,              -32.43, dBm,
           100333233,Hz,              -80.37, dBm,
           100666566,Hz,              -81.11, dBm,
           100999899,Hz,              -79.44, dBm,
           101333232,Hz,              -81.19, dBm,
           101666565,Hz,              -80.55, dBm,
           101999898,Hz,              -80.46, dBm,
           102333231,Hz,              -78.83, dBm,
           102666564,Hz,              -81.34, dBm,
           102999897,Hz,              -80.02, dBm,
           103333230,Hz,              -80.27, dBm,
