Trace1,
Freq,,Amp,,
           109711547,Hz,              -79.82, dBm,
           110044713,Hz,              -80.63, dBm,
           110377879,Hz,              -79.52, dBm,
           110711045,Hz,              -80.79, dBm,
           111044211,Hz,              -79.29, dBm,
           111377377,Hz,              -80.50, dBm,
           111710543,Hz,              -80.45, dBm,
           112043709,Hz,              -77.43, dBm,
           112376875,Hz,              -81.59, dBm,
           112710041,Hz,              -80.58, dBm,
           113043207,Hz,              -79.43, dBm,
           113376373,Hz,              -80.02, dBm,
           113709539,Hz,              -82.03, dBm,
           114042705,Hz,              -80.79, dBm,
           114375871,Hz,              -80.60, dBm,
           114709037,Hz,              -78.88, dBm,
           115042203,Hz,              -80.53, dBm,
           115375369,Hz,              -80.77, dBm,
           115708535,Hz,              -79.68, dBm,
           116041701,Hz,              -81.43, dBm,
           116374867,Hz,              -82.16, dBm,
           116708033,Hz,              -78.98, dBm,
           117041199,Hz,              -81.68, dBm,
           117374365,Hz,              -78.95, dBm,
           117707531,Hz,              -79.38, dBm,
           118040697,Hz,              -81.64, dBm,
           118373863,Hz,              -80.90, dBm,
           118707029,Hz,              -80.61, dBm,
           119040195,Hz,              -80.29, dBm,
           119373361,Hz,              -82.15, dBm,
           119706527,Hz,              -82.08, dBm,
           120039693,Hz,              -80.00, dBm,
           120372859,Hz,              -78.63, dBm,
           120706025,Hz,              -79.53, dBm,
           121039191,Hz,              -78.44, dBm,
           121372357,Hz,              -79.51, dBm,
           121705523,Hz,              -82.70, dBm,
           122038689,Hz,              -80.78, dBm,
           122371855,Hz,              -80.17, dBm,
           122705021,Hz,              -81.26, dBm,
           123038187,Hz,              -77.63, dBm,
           123371353,Hz,              -80.77, dBm,
           123704519,Hz,              -79.95, dBm,
           124037685,Hz,              -80.57, dBm,
           124370851,Hz,              -80.06, dBm,
           124704017,Hz,              -79.87, dBm,
           125037183,Hz,              -81.22, dBm,
           125370349,Hz,              -80.31, dBm,
           125703515,Hz,              -81.82, dBm,
           126036681,Hz,              -81.40, dBm,
           126369847,Hz,              -79.60, dBm,
           126703013,Hz,              -82.02, dBm,
           127036179,Hz,              -81.21, dBm,
           127369345,Hz,              -79.12, dBm,
           127702511,Hz,              -80.31, dBm,
           128035677,Hz,              -83.47, dBm,
           128368843,Hz,              -81.29, dBm,
           128702009,Hz,              -82.42, dBm,
           129035175,Hz,              -79.81, dBm,
           129368341,Hz,              -78.96, dBm,
           129701507,Hz,              -81.92, dBm,
           130034673,Hz,              -80.84, dBm,
           130367839,Hz,              -80.84, dBm,
           130701005,Hz,              -78.98, dBm,
           131034171,Hz,              -81.39, dBm,
           131367337,Hz,              -81.60, dBm,
           131700503,Hz,              -80.20, dBm,
           132033669,Hz,              -79.41, dBm,
